Destination Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Min Packet Length,Max Packet Length,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Avg Fwd Segment Size,Avg Bwd Segment Size,Fwd Header Length.1,Fwd Avg Bytes/Bulk,Fwd Avg Packets/Bulk,Fwd Avg Bulk Rate,Bwd Avg Bytes/Bulk,Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,Init_Win_bytes_forward,Init_Win_bytes_backward,act_data_pkt_fwd,min_seg_size_forward,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
20828,62,1,1,2,6,2,2,2.0,0.0,6,6,6.0,0.0,129032.26,32258.064,62.0,0.0,62,62,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,24,20,16129.032,16129.032,2,6,3.3333333,2.309401,5.3333335,0,0,0,1,0,0,0,0,1,5.0,2.0,6.0,24,0,0,0,0,0,0,1,2,1,6,1024,0,0,24,0.0,0.0,0,0,0.0,0.0,0,0
80,1961,6,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,3059.6633,392.2,533.8775,985,1,1961,392.2,533.8775,985,1,0,0.0,0.0,0,0,0,0,0,0,192,0,3059.6633,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0.0,192,0,0,0,0,0,0,6,0,0,0,251,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
80,21127,3,5,26,11601,20,0,8.666667,10.263203,7300,0,2320.2,3022.508,550338.44,378.66238,3018.1428,4724.4595,10770,117,11180,5590.0,7534.9297,10918,262,20979,5244.75,5652.7534,11149,197,0,0,0,0,72,112,141.9984,236.66399,0,7300,1291.8889,2460.653,6.054813e+06,0,0,0,1,0,0,0,0,1,1453.375,8.666667,2320.2,72,0,0,0,0,0,0,3,26,5,11601,8192,229,2,20,0.0,0.0,0,0,0.0,0.0,0,0
80,117196790,18,18,4231,1318,2441,0,235.05556,693.1624,669,0,73.22222,213.13557,47.347713,0.30717564,3.3484798e+06,4.672883e+06,10000000,3,117000000,6.893929e+06,4.554772e+06,10100000,116,112000000,6.575566e+06,4.8478925e+06,10100000,3,0,0,0,0,584,584,0.15358782,0.15358782,0,2441,149.97298,505.5015,255531.75,0,0,0,1,0,0,0,0,1,154.13889,235.05556,73.22222,584,0,0,0,0,0,0,18,4231,18,1318,29200,1267,2,32,139613.64,384254.38,1298182,23130,1e+07,6665.5356,10000000,10000000
3527,90,1,1,0,6,0,0,0.0,0.0,6,6,6.0,0.0,66666.664,22222.223,90.0,0.0,90,90,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,40,20,11111.111,11111.111,0,6,2.0,3.4641016,12.0,0,0,0,1,0,0,0,0,1,3.0,0.0,6.0,40,0,0,0,0,0,0,1,0,1,6,29200,0,0,40,0.0,0.0,0,0,0.0,0.0,0,0
80,4138045,5,0,30,0,6,6,6.0,0.0,0,0,0.0,0.0,7.2498,1.2083001,1.03451125e+06,2.0678805e+06,4136332,363,4138045,1.03451125e+06,2.0678805e+06,4136332,363,0,0.0,0.0,0,0,0,0,0,0,100,0,1.2083001,0.0,6,6,6.0,0.0,0.0,0,0,0,0,1,0,0,0,0,7.2,6.0,0.0,100,0,0,0,0,0,0,5,30,0,0,256,-1,4,20,0.0,0.0,0,0,0.0,0.0,0,0
53,179,2,2,64,120,32,32,32.0,0.0,60,60,60.0,0.0,1.02793294e+06,22346.37,59.666668,101.61365,177,1,1,1.0,0.0,1,1,1,1.0,0.0,1,1,0,0,0,0,64,64,11173.185,11173.185,32,60,43.2,15.336231,235.2,0,0,0,0,0,0,0,0,1,54.0,32.0,60.0,64,0,0,0,0,0,0,2,64,2,120,-1,-1,1,32,0.0,0.0,0,0,0.0,0.0,0,0
80,87009689,10,7,600,11595,300,0,60.0,126.491104,5792,0,1656.4286,2118.2273,140.1568,0.19538054,5.4381055e+06,2.16e+07,86600000,1,86800000,9.645839e+06,2.89e+07,86600000,1,402190,67031.664,103708.68,205100,9,0,0,0,0,328,232,0.11492973,0.08045081,0,5792,677.5,1495.9847,2.2379705e+06,0,0,0,0,1,0,0,0,0,717.35297,60.0,1656.4286,328,0,0,0,0,0,0,10,600,7,11595,274,235,2,32,1008.0,0.0,1008,1008,8.66e+07,0.0,86600000,86600000
80,100679714,9,4,62,11601,20,0,6.888889,5.3019915,10135,0,2900.25,4871.8257,115.8426,0.12912233,8.389976e+06,2.59e+07,90000000,1,101000000,1.26e+07,3.15e+07,90000000,1,14480,4826.6665,4023.1948,7229,182,0,0,0,0,192,92,0.08939239,0.03972995,0,10135,833.5,2705.0442,7.3172645e+06,0,0,0,0,1,0,0,0,0,897.61536,6.888889,2900.25,192,0,0,0,0,0,0,9,62,4,11601,256,229,7,20,2004.0,0.0,2004,2004,5.03e+07,5.61e+07,90000000,10600000
61928,4,2,0,37,0,37,0,18.5,26.16295,0,0,0.0,0.0,9.25e+06,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,37,24.666666,21.36196,456.33334,0,1,0,0,1,0,0,0,0,37.0,18.5,0.0,64,0,0,0,0,0,0,2,37,0,0,122,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0
