Flow Duration,Total Fwd Packets,Total Backward Packets,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd URG Flags,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,Down/Up Ratio,Init Fwd Win Bytes,Init Bwd Win Bytes,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std
14989280,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.13342869,1.5e+07,0.0,15000000.0,15000000.0,1.5e+07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,2049,-1,20,0.0,0.0,0.0,0.0,1.5e+07,0.0
1213297,3,4,20,0,6.6666665,11.547006,964,0,241.0,482.0,811.0132968,5.769403534,202216.17,495150.56,1212938.0,2.0,166.5,232.63814,1213291.0,404430.34,700188.2,1212938.0,20.0,0,0,3.296802,0,964,123.0,339.8874,115523.43,0,1,1,0,0,1,8192,211,20,0.0,0.0,0.0,0.0,0.0,0.0
10949,3,4,326,0,108.666664,188.21619,112,0,32.25,53.767246,41556.30651,639.3277925,1824.8334,4039.3857,10062.0,22.0,281.5,307.59146,10472.0,3490.6667,5693.632,10062.0,30.0,0,0,365.33017,0,326,56.875,115.406654,13318.696,0,1,1,0,0,1,8192,219,20,0.0,0.0,0.0,0.0,0.0,0.0
2674203,8,11,661,0,141.5,222.79202,1173,0,143.72728,352.1017,1014.507874,7.104920606,148566.83,258024.98,1036315.0,49.0,382029.0,448542.22,2610414.0,261041.4,319025.0,1036315.0,831.0,0,0,4.113375,0,1173,135.65,290.78864,84558.03,0,0,1,0,0,1,8192,62868,20,0.0,0.0,0.0,0.0,0.0,0.0
86290839,2,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0231774314,8.629084e+07,0.0,86290839.0,86290839.0,8.629084e+07,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,62558,-1,20,0.0,0.0,0.0,0.0,8.629084e+07,0.0
292,1,1,82,82,82.0,0.0,114,114,114.0,0.0,671232.876712329,6849.3150684932,292.0,0.0,292.0,292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3424.6575,82,114,92.666664,18.475208,341.33334,0,0,0,0,0,1,-1,-1,8,0.0,0.0,0.0,0.0,0.0,0.0
24434,2,1,165,0,82.5,116.67262,0,0,0.0,0.0,6752.8853237292,122.7797331587,12217.0,17210.979,24387.0,47.0,24434.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,40.92658,0,165,82.5,95.262794,9075.0,0,0,0,1,0,0,256,0,20,0.0,0.0,0.0,0.0,0.0,0.0
10452,3,4,326,0,108.666664,188.21619,112,0,32.25,53.767246,43532.33831,669.7282817,1742.0,3817.0552,9524.0,21.0,293.0,342.2397,9938.0,3312.6667,5381.1807,9524.0,60.0,0,0,382.70187,0,326,56.875,115.406654,13318.696,0,1,1,0,0,1,8192,219,20,0.0,0.0,0.0,0.0,0.0,0.0
631,3,0,46,0,25.666666,23.459185,0,0,0.0,0.0,122028.5261,4754.358162,315.5,409.41483,605.0,26.0,315.5,409.41483,0.0,0.0,0.0,0.0,0.0,1,0,0.0,0,46,30.75,21.68525,470.25,0,0,0,1,0,0,258,-1,20,0.0,0.0,0.0,0.0,0.0,0.0
406933,2,0,33,33,33.0,0.0,0,0,0.0,0.0,162.1888615571,4.9148139866,406933.0,0.0,406933.0,406933.0,406933.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,33,33,33.0,0.0,0.0,0,0,0,0,0,0,-1,-1,8,0.0,0.0,0.0,0.0,0.0,0.0
