PROTOCOL,L7_PROTO,IN_BYTES,IN_PKTS,OUT_BYTES,OUT_PKTS,TCP_FLAGS,CLIENT_TCP_FLAGS,SERVER_TCP_FLAGS,DURATION_IN,DURATION_OUT,MIN_TTL,MAX_TTL,LONGEST_FLOW_PKT,SHORTEST_FLOW_PKT,MIN_IP_PKT_LEN,MAX_IP_PKT_LEN,SRC_TO_DST_SECOND_BYTES,DST_TO_SRC_SECOND_BYTES,RETRANSMITTED_IN_BYTES,RETRANSMITTED_IN_PKTS,RETRANSMITTED_OUT_BYTES,RETRANSMITTED_OUT_PKTS,SRC_TO_DST_AVG_THROUGHPUT,DST_TO_SRC_AVG_THROUGHPUT,NUM_PKTS_UP_TO_128_BYTES,NUM_PKTS_128_TO_256_BYTES,NUM_PKTS_256_TO_512_BYTES,NUM_PKTS_512_TO_1024_BYTES,NUM_PKTS_1024_TO_1514_BYTES,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,ICMP_TYPE,ICMP_IPV4_TYPE,DNS_QUERY_ID,DNS_QUERY_TYPE,DNS_TTL_ANSWER,FTP_COMMAND_RET_CODE,SRC_TO_DST_IAT_MIN,SRC_TO_DST_IAT_MAX,SRC_TO_DST_IAT_AVG,SRC_TO_DST_IAT_STDDEV,DST_TO_SRC_IAT_MIN,DST_TO_SRC_IAT_MAX,DST_TO_SRC_IAT_AVG,DST_TO_SRC_IAT_STDDEV,Label
6.0,91.0,112.0,2.0,60.0,1.0,18.0,18.0,18.0,0.0,0.0,64.0,64.0,60.0,52.0,52.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,896000.0,480000.0,3.0,0.0,0.0,0.0,0.0,29200.0,28960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.0,7.0,423.0,5.0,919.0,5.0,27.0,27.0,27.0,3.0,3.0,64.0,64.0,703.0,52.0,52.0,703.0,306.0,141.0,0.0,0.0,0.0,0.0,846000.0,1.838e+06,8.0,1.0,0.0,1.0,0.0,29200.0,28960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
6.0,7.0,112.0,2.0,60.0,1.0,18.0,18.0,18.0,0.0,0.0,64.0,64.0,60.0,52.0,52.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,896000.0,480000.0,3.0,0.0,0.0,0.0,0.0,29200.0,5792.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.0,91.0,112.0,2.0,60.0,1.0,18.0,18.0,18.0,0.0,0.0,64.0,64.0,60.0,52.0,52.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,896000.0,480000.0,3.0,0.0,0.0,0.0,0.0,29200.0,28960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
6.0,91.0,249.0,1.0,0.0,0.0,24.0,24.0,0.0,0.0,0.0,0.0,0.0,249.0,249.0,0.0,249.0,0.0,2.0,0.0,0.0,0.0,0.0,1.992e+06,0.0,0.0,1.0,0.0,0.0,0.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,7.0,6010.0,7.0,2153.0,5.0,26.0,26.0,26.0,85.0,54.0,64.0,64.0,1500.0,52.0,52.0,1500.0,25.0,70.0,1423.0,1.0,0.0,0.0,559069.0,200279.0,6.0,0.0,1.0,0.0,5.0,29200.0,28960.0,36608.0,143.0,0.0,0.0,0.0,0.0,0.0,37.0,13.0,14.0,7.0,18.0,13.0,4.0,1.0
6.0,7.0,2105.0,5.0,1296.0,3.0,26.0,26.0,26.0,688.0,354.0,64.0,64.0,1500.0,52.0,52.0,1500.0,1.0,3.0,0.0,0.0,0.0,0.0,24441.0,15047.0,5.0,0.0,1.0,0.0,2.0,29200.0,26847.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,172.0,169.0,0.0,354.0,177.0,177.0,1.0
6.0,0.0,48.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,384000.0,0.0,1.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,44.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,44.0,44.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,352000.0,0.0,1.0,0.0,0.0,0.0,0.0,1024.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,48.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,48.0,48.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,384000.0,0.0,1.0,0.0,0.0,0.0,0.0,4096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
